Station Name, Lat, Long
Kendall Square T, 42.3623961276483, -71.0861554006697 
Wadsworth at Amherst, 42.36105642323462, -71.08463973861379
Media Lab, 42.360319332447474, -71.08689718646521
Media Lab at Ames, 42.359834718016515, -71.08760326040364
Amherst at Kresge, 42.35789477940251, -71.09412301635507
Burton/MacGregor, 42.35584002032784, -71.09952831035326
Tang/Westgate, 42.354887042308626, -71.1024717252607
W98 at Vassar St, 42.35435420837832, -71.10678847497752
W92 at Amesbury St, 42.35501463363094, -71.10546281215703
Simmons Hall, 42.357362437798145, -71.10044864439347
New Vassar Dorm, 42.3589058159025, -71.09729242287465
Vassar St at Mass Ave, 42.36055521807508, -71.09398119394372
Main at Vassar, 42.36262427726939, -71.08960568546944
