Residence,Address,Lat,Long,Type,Capacity
Baker House,"362 Memorial Drive Building W7 Cambridge, MA 0213",42.35676809,-71.09569688,Undergrad,325
Burton Conner,"410 Memorial Drive Building W51 Cambridge, MA 02139",42.35614545,-71.09789352,Undergrad,388
East Campus,"42.3600082317933, -71.08839675920484",42.36003617,-71.08839676,Undergrad,383
MacGregor House,"450 Memorial Drive Building W61 Cambridge, MA 02139",42.35564529,-71.09956286,Undergrad,313
Maseeh Hall,"305 Memorial Drive Building W1 Cambridge, MA 02139",42.35784305,-71.09344767,Undergrad,500
McCormick Hall,"320 Memorial Drive Building W4 Cambridge, MA 02139",42.35752048,-71.09451157,Undergrad,255
New House,"471-476 Memorial Drive Building W70 Cambridge, MA 02139",42.35529079,-71.10062666,Undergrad,290
Next House,"500 Memorial Drive Building W71 Cambridge, MA 02139",42.35497046,-71.10189427,Undergrad,368
New Vassar,"189 Vassar Street Building W46 Cambridge, MA 02139",42.35923334,-71.09755922,Undergrad,450
Random Hall,"290 Massachusetts Avenue Building NW61 Cambridge, MA 02139",42.36200393,-71.09834512,Undergrad,93
Simmons Hall,"229-243 Vassar Street Building W79 Cambridge, MA 02139",42.3573422,-71.10155815,Undergrad,369
70 Amherst Street,"70 Amherst Street Cambridge, MA 02142",42.36013484,-71.0870401,Grad,140
Ashdown House,"235 Albany Street Cambridge, MA 02139",42.35891844,-71.10114454,Grad,1116
Edgerton House,"143 Albany Street Cambridge, MA 02139",42.36013606,-71.09798554,Grad,466
Graduate Tower,"45 Hayward Street Cambridge,",42.36211168,-71.085352,Grad,600
Sidney-Pacific,"70 Pacific Street Cambridge, MA 02139",42.35992702,-71.10197283,Grad,1164
Tang Hall,"550 Memorial Drive Cambridge, MA 02139",42.35444635,-71.10347344,Grad,100
The Warehouse,"224 Albany Street Cambridge, MA 02139",42.35882925,-71.099922,Grad,100
Westgate Apartments,"540 Memorial Drive Cambridge, MA 02139",42.35512972,-71.10324803,Grad,100
100 Memorial,"100 Memorial Dr, Cambridge, MA 02142",42.36033517,-71.08580432,Grad,100
