Name,Kendall Square T,Wadsworth at Amherst,Media Lab,Media Lab at Ames,Amherst at Kresge,Burton/MacGregor,Tang/Westgate,W98 at Vassar St,W92 at Amesbury St,Simmons Hall,New Vassar Dorm,Vassar St at Mass Ave,Main at Vassar,Baker House,Burton Conner,East Campus,MacGregor House,Maseeh Hall,McCormick Hall,New House,Next House,New Vassar,Random Hall,70 Amherst Street,Ashdown House,Edgerton House,Graduate Tower,Sidney-Pacific,Tang Hall,The Warehouse,Westgate Apartments,Depot,MIT Chapel,Hyatt Regency Cambridge,MIT Furniture Exchange,Veterans Memorial Pool,Great Dome,MIT Sloan School of Management,MIT Medical Urgent Care Service,Walker Memorial,MIT Department of Mathematics,MIT Sailing Pavilion,The Muddy Charles Pub,Tudor Dog Park,MIT Plasma Science and Fusion Center
Kendall Square T,0.0,1.0333,2.3167,2.7,3.8667,4.1667,6.05,5.0,5.15,5.6167,5.25,4.6667,5.85,4.3167,3.95,3.25,4.1667,3.6667,3.8,4.1667,5.15,8.3833,5.7333,2.3167,6.45,5.6167,0.3667,7.0,4.7,6.6167,5.5333,7.2167,4.45,5.0333,5.8667,6.6833,5.6333,1.4167,3.4,3.25,2.0833,5.3667,2.7,8.0833,5.8333
Wadsworth at Amherst,2.4167,0.0,1.2667,1.8,3.0667,3.3667,5.25,4.2,4.35,4.8167,4.45,3.8667,5.05,3.5167,3.15,2.2167,3.3667,2.8667,3.0,3.3667,4.35,7.5833,4.9333,1.2667,5.65,4.8167,2.3333,6.2,3.9,5.8167,4.7333,6.4167,3.65,4.2333,5.0667,5.8833,4.8333,1.5167,2.3667,2.2167,1.2833,4.5667,1.8,7.2833,5.0333
Media Lab,1.3167,1.2333,0.0,0.9833,3.2,3.5,5.3833,4.3333,4.4667,4.95,4.5667,3.25,4.3667,3.65,3.2833,0.9333,3.5,3.0,3.1333,3.5,4.4667,7.1167,5.1,0.2667,5.2,4.3667,1.6833,5.7333,4.0167,5.35,4.8667,6.1833,3.7833,4.35,5.2,6.05,2.75,2.5,1.5333,0.9333,1.4333,4.7,0.9833,6.9333,4.5833
Media Lab at Ames,1.8667,1.9333,0.9167,0.0,2.8667,3.1667,5.05,4.0,4.15,4.6167,4.25,3.6667,4.85,3.3167,2.95,1.55,3.1667,2.6667,2.8,3.1667,4.15,7.4333,4.7833,0.9167,5.5167,4.6833,2.25,6.05,3.7,5.6833,4.5333,6.2667,3.4667,4.0333,4.8667,5.7167,4.6333,3.35,2.4667,1.55,1.1,4.3667,0.5167,7.1333,4.9
Amherst at Kresge,4.3,3.6,4.3333,4.55,0.0,3.2667,4.4,3.35,3.4833,3.35,2.9833,2.4,3.5833,1.95,1.9833,4.95,3.2667,0.4667,0.2667,3.2667,4.2333,6.1833,3.5167,4.3333,4.25,3.4167,4.6667,4.8,3.05,4.4167,3.8833,5.0,1.5833,3.3667,4.1833,5.05,3.3667,4.2333,5.9667,4.95,2.7667,2.65,4.55,5.8833,3.6333
Burton/MacGregor,7.9667,8.1333,8.8667,8.7,7.15,0.0,0.9667,3.7,3.8333,4.25,4.9333,6.1167,7.25,9.1667,8.7833,8.9667,0.1167,6.95,7.4333,1.7333,0.9667,8.5,7.4167,8.8667,6.4833,7.2167,8.3333,7.1,3.3833,6.75,0.8167,8.1667,7.7333,3.7167,4.5333,5.3833,8.0,8.7667,10.5,8.9667,7.2667,7.15,8.7,6.5333,7.5333
Tang/Westgate,4.8833,5.95,5.5667,5.6333,4.0667,1.9,0.0,1.8667,1.6,1.3333,1.85,3.0333,4.1833,6.1,5.7,5.8833,1.9,3.8667,4.35,1.9,0.8,7.0,4.35,5.5667,5.0833,4.25,5.2667,5.6167,2.1,5.2333,0.3333,5.8333,4.6667,2.3667,3.8167,4.6667,4.9333,6.3667,6.3333,5.8833,5.3333,5.2167,5.6333,5.8,4.4667
W98 at Vassar St,4.8333,5.15,5.5,5.5833,4.0167,4.5167,1.6833,0.0,0.25,1.2,1.8,2.9833,4.1167,6.05,5.65,5.8333,4.5167,3.8167,4.3,3.3667,1.6833,5.9333,4.2833,5.5,3.9,4.2,5.2,4.5167,1.0167,4.1667,1.1667,5.7667,4.6,0.9167,1.95,2.8,4.8833,5.7833,6.2833,5.8333,4.25,4.1333,5.5833,3.95,4.4
W92 at Amesbury St,4.5667,4.8833,5.25,5.3167,3.75,4.25,1.4333,0.25,0.0,0.9333,1.5333,2.7167,3.85,5.7833,5.3833,5.5667,4.25,3.55,4.0333,3.1,1.4333,6.0667,4.0333,5.25,4.0333,3.9333,4.95,4.65,0.75,4.3,0.9167,5.5167,4.35,0.65,2.0833,2.9333,4.6167,5.5167,6.0167,5.5667,3.9833,3.8667,5.3167,4.0833,4.15
Simmons Hall,3.4833,4.5333,4.15,4.2167,2.6667,4.5,1.35,1.0333,0.7833,0.0,0.45,1.6167,2.7667,4.6833,4.2833,4.4833,4.5,2.45,2.9333,3.0167,1.35,5.5833,2.9333,4.15,3.6667,2.8333,3.85,4.2,1.2833,3.8333,0.8333,4.4167,3.25,1.55,2.9833,3.85,3.5167,4.95,4.9333,4.4833,4.2667,4.15,4.2167,5.3,3.05
New Vassar Dorm,3.1833,4.2333,3.85,3.9167,2.3667,4.3,2.3,2.0,1.7333,0.95,0.0,1.25,2.4667,4.3833,4.0833,4.1833,4.3,2.1667,2.65,3.9833,2.3,5.3,2.6333,3.85,3.3667,2.5333,3.55,3.9167,2.2333,3.5333,1.7833,4.1167,2.95,2.5,3.95,4.8,3.2333,4.6667,4.6333,4.1833,4.05,3.9333,3.9167,5.0,2.75
Vassar St at Mass Ave,2.0333,3.1,2.7167,2.7833,2.3333,4.25,3.3833,3.0833,2.8333,1.7167,1.35,0.0,1.3333,4.35,4.05,3.0333,4.25,2.1167,2.6,4.25,3.3833,4.85,2.1833,2.7167,2.9167,2.0833,2.4167,3.4667,3.3167,3.0833,2.8667,3.6667,2.9167,3.5833,4.9833,5.85,2.25,3.5167,3.4833,3.0333,3.2333,3.9,2.7833,4.55,2.3
Main at Vassar,0.7,1.7667,1.35,1.4333,3.6833,3.9833,5.8667,4.8167,4.95,5.4333,5.05,3.8167,0.0,4.1333,3.7667,1.6833,3.9833,3.4667,3.6167,3.9833,4.95,7.6833,5.5833,1.35,5.7667,4.9333,1.0833,6.3,4.5,5.9333,5.35,6.75,4.2667,4.8333,5.6833,6.5333,2.8333,2.1833,2.15,1.6833,1.8833,5.1833,1.4333,7.5167,5.15
Baker House,7.6167,7.7833,8.5167,8.35,6.8,3.2833,4.2667,3.3333,3.4833,3.9,4.5833,5.75,6.9,0.0,1.5167,8.6167,3.2833,6.5833,7.0667,3.2833,4.2667,8.15,7.0667,8.5167,6.1333,6.8667,7.9833,6.75,3.0333,6.3833,3.8667,7.8167,7.3833,3.3667,4.1833,5.0333,7.65,8.4167,10.15,8.6167,6.9167,6.7833,8.35,6.1833,7.1833
Burton Conner,8.0167,8.1833,8.9167,8.7667,7.2,1.7667,2.7333,3.75,3.8833,4.3,4.9833,6.1667,7.3,9.2333,0.0,9.0167,1.7667,7.0,7.4833,1.7667,2.7333,8.5667,7.4667,8.9167,6.5333,7.2667,8.3833,7.15,3.4333,6.8,4.2833,8.2333,7.7833,3.7667,4.5833,5.4333,8.0667,8.8167,10.5667,9.0167,7.3167,7.2,8.7667,6.5833,7.5833
East Campus,1.85,1.85,0.6,0.7667,2.9833,3.2833,5.1667,4.1167,4.25,4.7333,4.3667,3.7833,4.9,3.4333,3.0667,0.0,3.2833,2.7833,2.9167,3.2833,4.25,7.55,4.9,0.6,5.6333,4.8,2.2167,6.1667,3.8167,5.7833,4.65,6.3833,3.5667,4.1333,4.9833,5.8333,4.75,3.3333,2.15,0.2333,1.2333,4.4833,0.7667,7.25,5.0167
MacGregor House,7.9667,8.1333,8.8667,8.7,7.15,0.1167,0.9667,3.7,3.8333,4.25,4.9333,6.1167,7.25,9.1667,8.7833,8.9667,0.0,6.95,7.4333,1.6,0.9667,8.5,7.4167,8.8667,6.4833,7.2167,8.3333,7.1,3.3833,6.75,0.8167,8.1667,7.7333,3.7167,4.5333,5.3833,8.0,8.7667,10.5,8.9667,7.2667,7.15,8.7,6.5333,7.5333
Maseeh Hall,3.9333,3.2333,3.9667,4.2,0.2667,2.65,4.55,3.5,3.6333,3.0,2.6333,2.05,3.2333,2.2333,2.2667,4.6,2.65,0.0,0.5333,2.65,3.6333,5.8167,3.1667,3.9667,3.9,3.0667,4.3167,4.4333,3.1833,4.05,4.0333,4.65,1.0167,3.5167,4.35,5.2167,3.0167,3.8667,5.6167,4.6,2.4167,2.3,4.2,5.5167,3.2833
McCormick Hall,4.5333,3.8333,4.5667,4.8,0.4167,2.9833,4.1333,3.0833,3.2167,3.6,3.2333,2.65,3.8333,1.6833,1.7167,5.1833,2.9833,0.65,0.0,2.9833,3.9667,6.4167,3.7667,4.5667,4.5,3.6667,4.9167,5.0333,2.7833,4.65,3.6167,5.25,1.7833,3.1,3.9167,4.7667,3.6167,4.4667,6.2167,5.1833,3.0167,2.9,4.8,6.1167,3.8833
New House,5.3667,6.4333,6.05,6.1167,4.55,1.7333,0.9667,3.7,2.0833,1.8167,2.3333,3.5167,4.6667,6.5833,6.1833,6.3667,1.6,4.35,4.8333,0.0,0.9667,8.5,4.8333,6.05,6.4833,4.7333,5.75,7.1,3.3833,6.75,0.8167,6.3167,5.15,3.7167,4.5333,5.3833,5.4167,6.85,6.8167,6.3667,7.2667,7.15,6.1167,6.5333,4.95
Next House,4.8833,5.95,5.5667,5.6333,4.0667,1.9,0.8,1.8667,1.6,1.3333,1.85,3.0333,4.1833,6.1,5.7,5.8833,1.9,3.8667,4.35,1.9,0.0,7.0,4.35,5.5667,5.0833,4.25,5.2667,5.6167,2.1,5.2333,0.3333,5.8333,4.6667,2.3667,3.8167,4.6667,4.9333,6.3667,6.3333,5.8833,5.3333,5.2167,5.6333,5.8,4.4667
New Vassar,4.8667,5.9167,5.5167,5.5833,4.2833,6.1167,5.65,5.3333,5.0833,3.9667,3.6,3.5167,4.0833,6.3167,5.9,5.85,6.1167,4.0833,4.5667,6.1167,5.65,0.0,3.4,5.5167,1.5,1.5667,5.2333,1.6833,5.5833,0.55,5.1333,4.4167,4.8833,5.85,5.1833,7.4167,5.15,6.35,6.3167,5.85,5.8833,5.7667,5.5833,2.7667,1.8667
Random Hall,3.8833,4.9333,4.5333,4.6,3.0333,4.8667,4.3833,4.0833,3.8333,2.7167,2.35,2.2667,3.0833,5.05,4.65,4.85,4.8667,2.8333,3.3167,4.8667,4.3833,4.3,0.0,4.5333,2.3833,1.55,4.25,1.9833,4.3167,2.5333,3.8667,1.95,3.6167,4.5833,5.3167,6.85,3.9,5.35,5.3333,4.85,4.6333,4.5167,4.6,3.0167,1.7667
70 Amherst Street,1.3167,1.2333,0.2667,0.9833,3.2,3.5,5.3833,4.3333,4.4667,4.95,4.5667,3.25,4.3667,3.65,3.2833,0.9333,3.5,3.0,3.1333,3.5,4.4667,7.1167,5.1,0.0,5.2,4.3667,1.6833,5.7333,4.0167,5.35,4.8667,6.1833,3.7833,4.35,5.2,6.05,2.75,2.5,1.5333,0.9333,1.4333,4.7,0.9833,6.9333,4.5833
Ashdown House,4.0,5.0667,4.6667,4.7333,3.4333,5.25,4.7833,4.4833,4.2167,3.1167,2.7333,2.65,3.2167,5.45,5.0333,4.9833,5.25,3.2167,3.7,5.25,4.7833,2.05,2.5333,4.6667,0.0,0.7,4.3833,1.0833,4.7167,0.2833,4.2667,3.8167,4.0167,4.9833,3.6167,5.85,4.2833,5.4833,5.45,4.9833,5.0333,4.9,4.7333,2.1667,1.0
Edgerton House,3.2,4.25,3.85,3.9167,2.6167,4.45,3.9833,3.6667,3.4167,2.3,1.9333,1.85,2.4167,4.65,4.2333,4.1833,4.45,2.4167,2.9,4.45,3.9833,2.6333,1.7333,3.85,0.7167,0.0,3.5667,1.2333,3.9167,0.8833,3.4667,3.2167,3.2167,4.1833,4.3833,6.4333,3.4833,4.6833,4.65,4.1833,4.2167,4.1,3.9167,2.3167,0.2
Graduate Tower,4.05,1.2833,2.4833,3.4833,4.1167,4.4167,6.3167,5.2667,5.4,5.8667,5.5,4.9167,6.1,4.5833,4.2167,3.4333,4.4167,3.9167,4.0667,4.4167,5.4,8.6333,5.9833,2.4833,6.7,5.8667,0.0,7.25,4.95,6.8667,5.8,7.4667,4.7167,5.2833,6.1167,6.9333,5.8833,1.6833,3.5833,3.4333,2.35,5.6333,3.4833,8.3333,6.0833
Sidney-Pacific,4.7333,5.7833,5.3833,5.45,4.15,5.9833,5.5167,5.2,4.95,3.8333,3.4667,3.3833,3.95,6.1833,5.7667,5.7167,5.9833,3.95,4.4333,5.9833,5.5167,2.9667,2.0667,5.3833,0.8,1.4333,5.1,0.0,5.45,1.2,5.0,2.4333,4.75,5.7167,3.35,5.5667,5.0167,6.2167,6.1833,5.7167,5.75,5.6333,5.45,1.0833,1.7333
Tang Hall,5.2333,4.2833,5.0167,5.25,4.4167,3.65,2.1,1.6,1.4167,1.6,2.2,3.3833,4.5333,5.6167,5.25,5.6333,3.65,4.2167,4.7,3.7667,2.1,6.45,4.7,5.0167,4.4333,4.6,6.6167,5.05,0.0,4.6833,1.5833,6.1833,5.0167,1.6333,2.4667,3.3333,5.2833,4.9167,6.65,5.6333,3.3833,3.25,5.25,4.4667,4.8167
The Warehouse,4.3,5.3667,4.9667,5.0333,3.7333,5.55,5.0833,4.7833,4.5167,3.4167,3.0333,2.95,3.5167,5.75,5.3333,5.2833,5.55,3.5167,4.0,5.55,5.0833,1.75,2.8333,4.9667,0.9333,1.0,4.6833,1.1167,5.0167,0.0,4.5667,3.85,4.3167,5.2833,4.6167,6.85,4.5833,5.7833,5.75,5.2833,5.3333,5.2,5.0333,2.2,1.3
Westgate Apartments,4.55,5.6,5.2333,5.3,3.7333,2.1833,0.5167,1.5167,1.2667,1.0,1.5167,2.7,3.8333,5.7667,5.3667,5.55,2.1833,3.5333,4.0167,2.1833,0.5167,6.6667,4.0,5.2333,4.75,3.9167,4.9167,5.2833,1.75,4.9,0.0,5.5,4.3333,2.0333,3.4667,4.3167,4.6,6.0333,6.0,5.55,4.9833,4.8667,5.3,5.4667,4.1167
Depot,4.85,5.9,5.5,5.5667,4.2,6.0167,5.55,5.25,5.0,3.8833,3.5,3.4333,4.0667,6.2167,5.8,5.8333,6.0167,4.0,4.4667,6.0167,5.55,5.6333,1.2833,5.5,3.55,2.7167,5.2167,2.3,5.4833,3.8667,5.0333,0.0,4.7833,5.75,5.0167,7.5,5.05,6.3333,6.3,5.8333,5.8,5.6833,5.5667,2.7167,2.9167
