Name,Long,Lat
Baker House,-71.09569688,42.35676809
Burton Conner,-71.09789352,42.35614545
East Campus,-71.08839676,42.36003617
MacGregor House,-71.09956286,42.35564529
Maseeh Hall,-71.09344767,42.35784305
McCormick Hall,-71.09451157,42.35752048
New House,-71.10062666,42.35529079
Next House,-71.10189427,42.35497046
New Vassar,-71.09755922,42.35923334
Random Hall,-71.09834512,42.36200393
70 Amherst Street,-71.0870401,42.36013484
Ashdown House,-71.10114454,42.35891844
Edgerton House,-71.09798554,42.36013606
Graduate Tower,-71.085352,42.36211168
Sidney-Pacific,-71.10197283,42.35992702
Tang Hall,-71.10347344,42.35444635
The Warehouse,-71.099922,42.35882925
Westgate Apartments,-71.10324803,42.35512972
Depot,-71.10169629169343,42.36427095750911
